SaleDate,CustomerID,ProductID,UnitPrice,QuantitySold,TotalSales
2023-10-20 19:35:55.563595,1927,667,112.57,4,450.28
2022-09-27 19:35:55.563595,3150,629,140.63,3,421.89
2024-07-27 19:35:55.563595,8786,957,126.21,2,252.42
2024-06-29 19:35:55.563595,8176,735,16.81,3,50.43
2024-04-20 19:35:55.563595,2648,158,90.37,4,361.48
2023-11-12 19:35:55.563595,5929,957,109.34,5,546.7
2024-02-05 19:35:55.563595,1925,401,157.19,3,471.57
2023-09-09 19:35:55.563595,3796,957,74.06,3,222.18
2024-05-25 19:35:55.563595,2351,422,99.18,1,99.18
2023-10-02 19:35:55.563595,5718,372,193.29,5,966.45
2023-02-11 19:35:55.563595,1258,555,118.5,1,118.5
2024-04-20 19:35:55.563595,5314,934,128.49,5,642.45
2022-11-20 19:35:55.563595,3375,104,95.23,5,476.15
2024-06-19 19:35:55.563595,9336,845,117.5,5,587.5
2023-07-11 19:35:55.563595,3100,603,150.14,1,150.14
2023-06-04 19:35:55.563595,8241,353,129.27,3,387.81
2023-10-05 19:35:55.563595,4822,789,22.23,4,88.92
2023-03-19 19:35:55.563595,6418,893,48.53,5,242.65
2022-08-25 19:35:55.563595,1100,282,149.88,2,299.76
2024-04-27 19:35:55.563595,5436,893,56.77,2,113.54
2022-09-24 19:35:55.563595,9736,876,50.14,1,50.14
2024-05-16 19:35:55.563595,7226,137,20.85,1,20.85
2022-10-12 19:35:55.563595,5747,735,46.56,4,186.24
2023-02-02 19:35:55.563595,3020,132,74.35,1,74.35
2023-03-12 19:35:55.563595,7995,372,70.76,4,283.04
2023-06-01 19:35:55.563595,2545,428,128.46,1,128.46
2023-10-28 19:35:55.563595,7155,846,105.32,2,210.64
2022-12-15 19:35:55.563595,9030,857,169.75,4,679.0
2023-06-06 19:35:55.563595,4114,629,53.1,5,265.5
2024-06-09 19:35:55.563595,3901,364,162.94,2,325.88
2022-09-18 19:35:55.563595,5142,817,136.96,5,684.8
2023-06-10 19:35:55.563595,5009,436,75.83,1,75.83
2023-12-24 19:35:55.563595,3103,395,17.48,5,87.4
2022-09-03 19:35:55.563595,9484,114,187.35,5,936.75
2023-03-07 19:35:55.563595,3559,479,75.85,1,75.85
2024-05-26 19:35:55.563595,9163,851,111.95,2,223.9
2023-01-01 19:35:55.563595,1067,491,114.24,3,342.72
2023-07-13 19:35:55.563595,3176,184,169.18,2,338.36
2023-03-10 19:35:55.563595,2261,846,96.58,1,96.58
2024-03-06 19:35:55.563595,3202,464,58.44,2,116.88
2023-03-16 19:35:55.563595,1431,137,176.69,5,883.45
2022-10-17 19:35:55.563595,8691,372,81.65,2,163.3
2023-04-17 19:35:55.563595,8510,603,19.96,2,39.92
2022-11-07 19:35:55.563595,1769,771,55.16,3,165.48
2023-08-20 19:35:55.563595,8018,424,127.54,3,382.62
2024-04-22 19:35:55.563595,4315,629,22.6,5,113.0
2023-04-13 19:35:55.563595,5413,751,144.69,1,144.69
2023-06-19 19:35:55.563595,4428,816,70.55,1,70.55
2023-02-01 19:35:55.563595,1934,710,29.4,4,117.6
2024-01-15 19:35:55.563595,5541,789,10.08,2,20.16
2023-02-05 19:35:55.563595,2800,893,125.79,2,251.58
2023-04-16 19:35:55.563595,4322,131,127.26,5,636.3
2023-01-25 19:35:55.563595,9089,436,25.56,3,76.68
2022-08-28 19:35:55.563595,9812,272,141.33,5,706.65
2023-11-27 19:35:55.563595,2133,893,21.28,4,85.12
2024-06-02 19:35:55.563595,8486,688,76.46,5,382.3
2023-05-31 19:35:55.563595,3800,511,81.84,3,245.52
2024-03-09 19:35:55.563595,7926,479,19.5,2,39.0
2022-09-25 19:35:55.563595,2837,401,117.44,2,234.88
2022-11-05 19:35:55.563595,4074,688,7.18,3,21.54
2023-03-02 19:35:55.563595,9371,934,153.77,2,307.54
2022-10-04 19:35:55.563595,1369,825,11.43,3,34.29
2023-03-13 19:35:55.563595,3707,282,85.14,5,425.7
2023-11-24 19:35:55.563595,6657,660,100.93,2,201.86
2022-11-15 19:35:55.563595,9599,464,178.44,4,713.76
2022-09-27 19:35:55.563595,5706,603,151.52,1,151.52
2024-01-22 19:35:55.563595,5342,703,111.15,2,222.3
2022-09-15 19:35:55.563595,3782,851,112.1,3,336.3
2023-03-24 19:35:55.563595,7779,136,137.65,2,275.3
2024-06-04 19:35:55.563595,1926,436,25.68,4,102.72
2023-04-27 19:35:55.563595,5486,637,128.92,4,515.68
2022-10-23 19:35:55.563595,2837,680,125.63,4,502.52
2023-01-16 19:35:55.563595,7524,132,190.22,4,760.88
2023-06-03 19:35:55.563595,4385,846,122.54,2,245.08
2023-03-07 19:35:55.563595,9025,851,103.9,4,415.6
2023-06-21 19:35:55.563595,5749,104,43.21,3,129.63
2023-08-03 19:35:55.563595,6467,629,17.62,5,88.1
2023-07-22 19:35:55.563595,4892,735,199.36,3,598.08
2024-06-30 19:35:55.563595,7581,629,22.53,2,45.06
2023-06-21 19:35:55.563595,3353,789,184.2,5,921.0
2023-09-23 19:35:55.563595,3016,876,192.24,5,961.2
2023-01-22 19:35:55.563595,3259,735,63.11,2,126.22
2024-08-17 19:35:55.563595,4772,703,192.5,5,962.5
2023-11-20 19:35:55.563595,5436,491,88.25,1,88.25
2024-03-21 19:35:55.563595,3588,651,142.85,4,571.4
2023-07-20 19:35:55.563595,1293,146,23.27,5,116.35
2023-08-28 19:35:55.563595,4245,800,77.06,4,308.24
2023-05-22 19:35:55.563595,4110,771,197.09,4,788.36
2023-07-13 19:35:55.563595,4074,817,180.0,1,180.0
2023-12-25 19:35:55.563595,3745,282,110.96,5,554.8
2024-02-08 19:35:55.563595,1786,603,70.78,2,141.56
2022-11-20 19:35:55.563595,5476,846,133.88,3,401.64
2022-09-23 19:35:55.563595,6339,833,80.55,5,402.75
2022-12-14 19:35:55.563595,2354,137,184.82,5,924.1
2023-04-17 19:35:55.563595,4505,424,23.06,3,69.18
2023-02-18 19:35:55.563595,7245,820,163.63,1,163.63
2024-07-07 19:35:55.563595,9991,512,48.76,1,48.76
2023-09-30 19:35:55.563595,4875,651,137.67,2,275.34
2024-06-11 19:35:55.563595,1569,479,61.0,3,183.0
2022-12-02 19:35:55.563595,2647,789,63.05,3,189.15
2023-01-15 19:35:55.563595,8275,614,124.82,3,374.46
2024-06-15 19:35:55.563595,2931,835,135.42,5,677.1
2022-09-12 19:35:55.563595,5632,555,39.55,5,197.75
2023-07-31 19:35:55.563595,1913,422,120.53,5,602.65
2024-05-18 19:35:55.563595,9336,119,121.91,3,365.73
2024-02-19 19:35:55.563595,5085,893,141.36,3,424.08
2023-08-27 19:35:55.563595,2254,137,56.47,1,56.47
2024-07-04 19:35:55.563595,6832,952,57.75,3,173.25
2023-01-23 19:35:55.563595,1108,680,63.36,3,190.08
2024-07-11 19:35:55.563595,8228,491,58.34,5,291.7
2023-11-05 19:35:55.563595,3150,395,141.81,2,283.62
2023-04-23 19:35:55.563595,6657,278,146.24,2,292.48
2023-09-13 19:35:55.563595,4245,798,145.98,2,291.96
2022-09-09 19:35:55.563595,3429,752,195.97,2,391.94
2023-04-03 19:35:55.563595,7178,614,34.66,2,69.32
2023-08-17 19:35:55.563595,1091,531,173.38,2,346.76
2023-03-23 19:35:55.563595,5731,651,174.36,5,871.8
2024-07-05 19:35:55.563595,4433,282,81.93,2,163.86
2023-05-08 19:35:55.563595,6017,436,186.46,3,559.38
2023-09-27 19:35:55.563595,5434,781,40.96,3,122.88
2022-12-03 19:35:55.563595,8012,781,115.98,4,463.92
2024-05-12 19:35:55.563595,2679,422,139.07,4,556.28
2023-03-07 19:35:55.563595,8426,860,135.2,2,270.4
2024-08-02 19:35:55.563595,8510,771,70.95,1,70.95
2022-11-06 19:35:55.563595,2523,749,63.35,1,63.35
2023-07-23 19:35:55.563595,1554,749,35.73,2,71.46
2024-02-06 19:35:55.563595,9651,114,37.36,5,186.8
2023-08-31 19:35:55.563595,2397,988,47.55,4,190.2
2023-09-12 19:35:55.563595,2341,837,151.3,1,151.3
2024-05-26 19:35:55.563595,3271,607,69.47,4,277.88
2024-08-13 19:35:55.563595,6002,876,144.49,3,433.47
2023-08-06 19:35:55.563595,3103,851,158.87,3,476.61
2024-06-05 19:35:55.563595,8433,417,8.13,1,8.13
2022-10-11 19:35:55.563595,6339,740,57.55,1,57.55
2023-05-16 19:35:55.563595,4085,422,33.86,5,169.3
2023-06-02 19:35:55.563595,7350,876,179.82,4,719.28
2023-09-21 19:35:55.563595,1674,132,40.82,1,40.82
2024-04-08 19:35:55.563595,9513,184,79.62,4,318.48
2023-01-23 19:35:55.563595,6554,576,167.0,3,501.0
2023-02-19 19:35:55.563595,6970,136,45.76,4,183.04
2023-03-11 19:35:55.563595,7953,858,134.43,5,672.15
2023-12-03 19:35:55.563595,7100,846,112.22,4,448.88
2024-05-27 19:35:55.563595,6049,735,195.57,3,586.71
2022-11-09 19:35:55.563595,4559,428,147.61,2,295.22
2023-01-26 19:35:55.563595,6343,833,170.48,5,852.4
2023-09-11 19:35:55.563595,7577,234,107.25,3,321.75
2022-10-01 19:35:55.563595,7028,247,48.92,5,244.6
2023-04-04 19:35:55.563595,5386,816,129.68,5,648.4
2024-02-28 19:35:55.563595,3801,607,19.18,4,76.72
2024-02-26 19:35:55.563595,9291,818,47.25,5,236.25
2024-05-30 19:35:55.563595,3103,789,52.16,3,156.48
2022-11-12 19:35:55.563595,1736,491,110.0,2,220.0
2023-12-31 19:35:55.563595,8275,860,25.31,2,50.62
2023-01-27 19:35:55.563595,8766,132,54.09,5,270.45
2023-08-04 19:35:55.563595,3901,835,140.0,1,140.0
2023-06-13 19:35:55.563595,4977,352,39.2,1,39.2
2023-05-09 19:35:55.563595,6293,825,152.88,3,458.64
2024-05-09 19:35:55.563595,7243,781,102.36,3,307.08
2023-12-31 19:35:55.563595,1786,401,104.54,2,209.08
2023-04-13 19:35:55.563595,6906,629,139.3,2,278.6
2023-05-07 19:35:55.563595,6273,789,7.46,3,22.38
2024-05-10 19:35:55.563595,7836,378,19.02,3,57.06
2024-06-08 19:35:55.563595,5900,424,61.01,5,305.05
2023-02-17 19:35:55.563595,7888,158,155.24,3,465.72
2022-09-21 19:35:55.563595,7827,447,68.75,3,206.25
2023-07-15 19:35:55.563595,2354,278,72.94,4,291.76
2022-09-01 19:35:55.563595,5655,417,51.4,5,257.0
2023-02-06 19:35:55.563595,2545,447,144.11,2,288.22
2024-06-11 19:35:55.563595,3020,858,20.27,2,40.54
2022-10-13 19:35:55.563595,9048,104,88.69,3,266.07
2024-07-06 19:35:55.563595,9136,137,11.24,3,33.72
2023-10-11 19:35:55.563595,4091,353,31.38,3,94.14
2024-06-17 19:35:55.563595,3743,597,58.28,4,233.12
2023-09-20 19:35:55.563595,3743,137,167.54,3,502.62
2022-09-19 19:35:55.563595,7507,353,131.99,4,527.96
2022-10-22 19:35:55.563595,6817,597,190.81,4,763.24
2023-11-23 19:35:55.563595,9560,988,148.77,3,446.31
2023-01-10 19:35:55.563595,3169,131,188.74,3,566.22
2023-03-15 19:35:55.563595,6567,184,110.79,4,443.16
2022-09-06 19:35:55.563595,9202,749,76.06,3,228.18
2024-05-01 19:35:55.563595,4245,173,54.21,3,162.63
2024-07-20 19:35:55.563595,8985,405,103.06,2,206.12
2023-09-08 19:35:55.563595,8018,516,63.48,3,190.44
2024-03-04 19:35:55.563595,1769,651,77.82,1,77.82
2023-10-29 19:35:55.563595,1151,952,153.98,3,461.94
2023-08-17 19:35:55.563595,2850,353,123.03,2,246.06
2022-12-06 19:35:55.563595,2121,798,169.74,2,339.48
2024-04-05 19:35:55.563595,6832,560,49.59,1,49.59
2023-03-23 19:35:55.563595,6054,625,180.61,1,180.61
2023-04-19 19:35:55.563595,6978,957,84.78,4,339.12
2022-10-07 19:35:55.563595,5970,372,73.38,1,73.38
2023-05-28 19:35:55.563595,2892,765,100.24,5,501.2
2024-05-20 19:35:55.563595,2734,817,151.24,4,604.96
2024-05-26 19:35:55.563595,9200,851,39.96,5,199.8
2024-05-11 19:35:55.563595,1096,876,112.37,5,561.85
2023-07-07 19:35:55.563595,3316,735,81.34,5,406.7
2024-05-19 19:35:55.563595,3949,429,83.39,5,416.95
2023-05-14 19:35:55.563595,5420,735,61.27,2,122.54
2024-08-06 19:35:55.563595,1483,146,8.85,5,44.25
2023-01-29 19:35:55.563595,5800,924,134.74,5,673.7
2023-04-11 19:35:55.563595,4345,860,41.98,3,125.94
2022-11-06 19:35:55.563595,8766,857,184.81,1,184.81
2024-01-14 19:35:55.563595,3258,428,135.67,1,135.67
2024-03-04 19:35:55.563595,8160,710,31.5,5,157.5
2023-05-17 19:35:55.563595,2519,447,139.02,4,556.08
2023-04-02 19:35:55.563595,5149,184,196.49,2,392.98
2022-08-31 19:35:55.563595,1420,667,129.16,2,258.32
2022-12-01 19:35:55.563595,5314,447,111.48,3,334.44
2024-03-27 19:35:55.563595,1044,835,157.94,1,157.94
2024-02-04 19:35:55.563595,4943,749,115.35,4,461.4
2023-10-13 19:35:55.563595,2131,800,86.21,5,431.05
2023-03-16 19:35:55.563595,2548,474,194.86,1,194.86
2023-04-25 19:35:55.563595,8510,607,50.2,4,200.8
2022-09-05 19:35:55.563595,5358,957,178.14,4,712.56
2023-04-30 19:35:55.563595,3040,512,137.69,1,137.69
2023-03-17 19:35:55.563595,4331,710,80.73,4,322.92
2024-06-19 19:35:55.563595,6832,434,45.87,3,137.61
2023-09-04 19:35:55.563595,6159,474,10.14,2,20.28
2022-10-11 19:35:55.563595,3879,800,159.19,2,318.38
2022-12-12 19:35:55.563595,8745,845,68.93,1,68.93
2024-03-27 19:35:55.563595,4037,372,170.9,2,341.8
2022-08-25 19:35:55.563595,4245,352,16.69,1,16.69
2023-02-23 19:35:55.563595,1067,710,101.27,1,101.27
2023-09-04 19:35:55.563595,3853,405,143.17,5,715.85
2024-07-04 19:35:55.563595,9292,625,132.91,4,531.64
2024-08-09 19:35:55.563595,8953,576,89.04,4,356.16
2024-05-30 19:35:55.563595,5909,924,33.8,1,33.8
2022-11-03 19:35:55.563595,1216,703,80.38,4,321.52
2022-11-09 19:35:55.563595,2351,607,16.63,4,66.52
2024-05-06 19:35:55.563595,2679,436,42.48,4,169.92
2024-03-21 19:35:55.563595,2121,114,29.11,1,29.11
2024-07-07 19:35:55.563595,2570,893,123.77,2,247.54
2023-01-29 19:35:55.563595,7329,428,80.5,1,80.5
2022-11-21 19:35:55.563595,5820,781,66.04,4,264.16
2023-05-16 19:35:55.563595,8400,301,65.67,2,131.34
2023-03-13 19:35:55.563595,3782,428,196.92,5,984.6
2022-09-07 19:35:55.563595,4968,846,55.2,5,276.0
2024-08-08 19:35:55.563595,6135,820,112.71,5,563.55
2024-05-21 19:35:55.563595,6097,104,16.94,5,84.7
2024-02-17 19:35:55.563595,8095,860,40.84,4,163.36
